default,age,gender,income,balance,own,miss,educ
0,71,2,34376,0,1,0,1
0,46,2,52132,276,0,1,3
0,32,2,67981,217,1,0,4
0,58,2,109025,0,1,0,4
0,38,2,29972,41,0,0,3
0,34,1,31458,0,0,0,2
0,56,1,105246,478,1,1,5
0,69,1,103521,592,1,0,2
0,35,2,25767,72,0,0,2
0,40,1,94136,462,0,0,5
0,59,1,90429,0,1,0,4
0,53,2,55879,1501,1,0,3
1,41,2,20982,2093,0,0,1
0,64,2,31926,49,1,0,1
0,38,1,13535,1403,1,0,1
0,29,2,44590,0,0,0,3
0,25,2,33126,956,0,1,3
0,48,2,26794,410,1,0,2
0,34,1,30369,257,0,2,1
0,48,1,34468,737,1,0,1
0,27,1,30321,350,0,0,3
0,45,2,78017,0,1,1,5
0,41,1,42448,0,0,0,2
0,35,2,22209,338,0,0,2
0,60,2,75931,986,1,0,3
0,55,2,36264,190,1,1,2
0,57,1,75055,215,1,0,2
0,49,2,80196,0,1,0,3
0,23,2,12064,200,0,0,2
0,71,1,168520,0,1,0,5
0,74,2,235797,933,1,1,3
0,36,2,143789,6831,0,2,4
0,68,2,39868,1062,1,0,2
0,74,1,110815,1057,1,0,2
0,57,2,49039,35,1,0,2
0,40,1,85360,2378,0,1,4
0,61,2,72136,979,1,0,4
0,56,2,35503,1,1,0,2
0,53,1,135105,651,1,2,4
0,68,2,114524,0,1,0,4
0,70,1,171313,45,1,0,3
0,29,1,14968,33,0,0,1
0,54,1,269632,246,1,0,5
0,51,2,26287,295,1,0,1
0,67,1,77346,145,1,0,2
0,22,2,42061,295,0,0,4
0,36,1,167761,0,1,0,3
0,30,1,32512,0,1,0,2
0,61,1,133196,104,1,0,4
0,29,1,22089,0,0,0,2
0,71,1,165436,0,1,0,3
0,75,1,107213,0,1,0,3
1,52,1,48657,3612,1,3,2
0,27,1,13369,2173,0,1,1
0,68,1,78940,0,1,0,3
0,46,1,65717,0,1,0,4
0,39,1,54218,0,1,0,3
0,75,1,233740,1759,1,0,4
0,61,2,105947,98,1,0,5
0,59,1,118816,535,1,0,4
0,70,2,33009,76,1,0,1
0,74,2,71567,504,1,0,3
0,44,2,40179,244,1,0,3
0,26,2,80984,983,0,0,4
1,44,1,75649,991,1,1,3
0,40,1,17459,0,0,0,1
0,37,2,30872,360,0,0,3
0,55,1,103383,0,1,1,3
0,69,1,204492,430,1,0,3
0,25,2,16898,71,0,1,2
0,58,1,197443,0,1,0,2
0,56,1,51849,0,1,0,3
0,36,1,34222,2633,0,1,2
0,37,1,49963,653,0,0,2
0,54,1,79303,0,1,0,2
0,60,2,66175,781,1,0,4
0,38,2,51119,48,0,0,3
0,25,2,22793,1001,0,0,2
0,24,1,51484,1028,0,1,4
0,34,1,14023,538,0,0,1
0,57,2,38817,0,1,0,2
0,23,1,54170,236,0,1,4
0,53,2,72089,59,0,0,5
0,27,1,48757,0,0,0,4
0,72,1,92581,2300,1,1,4
0,48,2,32976,360,0,0,2
0,50,2,27999,2445,1,1,1
0,27,1,16753,1733,0,1,2
0,27,2,35262,1745,0,1,4
0,57,1,39635,515,1,0,2
0,33,1,61577,654,0,0,4
0,21,2,57882,0,0,0,5
0,58,2,98243,571,1,1,4
0,62,2,49995,0,1,0,2
0,55,2,39644,1635,1,0,2
0,49,1,75377,283,1,0,4
0,21,1,45511,72,0,0,5
1,63,1,45367,797,1,1,1
0,75,2,89065,1205,1,0,3
0,59,2,75142,0,1,0,3
0,71,1,146647,0,1,0,3
0,37,2,49069,0,0,0,4
0,50,2,26814,0,0,0,1
0,35,2,39376,0,0,0,4
1,62,2,43812,1809,1,2,1
0,69,1,49879,208,1,0,2
0,56,1,49470,0,1,0,2
0,35,1,22353,0,1,0,2
0,53,2,31342,0,1,0,2
0,23,2,69402,3103,0,1,4
1,65,1,68795,909,1,1,2
0,36,2,27831,0,1,0,3
0,44,1,42032,352,1,0,2
0,36,2,22644,1910,1,0,1
0,62,1,50114,490,1,1,2
0,22,1,14731,2446,0,1,2
0,27,1,55649,0,0,0,4
0,27,1,80279,0,0,0,2
0,62,2,32315,678,1,0,1
0,61,1,44024,992,1,0,1
0,33,2,28023,834,0,0,3
0,73,1,119485,0,1,0,3
0,48,1,43035,0,0,0,2
0,23,1,23653,0,0,0,2
0,27,2,26670,0,0,0,3
0,72,2,61660,64,1,0,3
0,62,1,74941,0,1,0,2
0,32,1,74280,1100,0,2,5
0,41,2,32331,2537,1,1,2
0,33,1,65291,1747,0,1,3
0,59,2,57505,926,1,0,4
0,21,2,10052,51,0,0,2
0,39,2,52325,432,0,0,5
1,48,1,89035,4731,1,3,4
0,27,2,43993,873,0,1,4
0,64,2,84003,3237,1,2,3
0,41,1,97664,1411,1,0,5
0,73,1,167744,1873,1,1,4
0,33,1,38345,0,0,0,2
0,69,2,173064,0,1,0,4
0,39,1,121059,0,1,0,4
0,22,1,12357,9,0,0,2
0,54,2,93640,33,1,0,3
0,62,1,83739,108,1,0,2
0,24,1,98350,1154,0,1,2
0,70,2,81667,0,1,0,3
0,47,1,60472,1399,1,0,3
0,73,2,32456,0,1,0,1
0,52,1,48625,343,1,0,2
0,67,1,105728,0,1,0,4
0,25,2,13700,2239,0,2,2
0,52,2,62649,474,1,0,3
0,33,1,96527,4665,0,1,5
0,46,2,73803,0,0,1,2
1,68,2,52740,644,1,0,3
0,34,1,65804,0,0,0,3
0,40,2,21884,0,0,0,2
0,21,2,15750,663,0,1,2
0,22,1,13016,0,0,0,2
0,57,1,44221,0,1,0,2
0,49,2,47881,472,1,0,2
0,34,2,77098,1200,1,0,4
0,52,2,38062,514,1,0,2
0,26,1,73001,726,0,0,4
0,36,2,44394,31,0,0,3
0,55,1,132448,1034,1,1,5
0,63,2,116075,858,1,0,5
0,36,1,39701,3285,0,1,2
0,47,1,114694,3,0,0,3
0,24,2,47831,0,0,0,5
0,63,2,44279,84,1,0,2
0,66,1,64755,364,1,1,1
0,35,1,31908,9,1,0,2
0,54,1,83636,0,1,1,4
0,43,2,47372,200,0,0,3
0,57,1,49546,849,1,0,2
0,50,1,58853,0,1,1,2
0,28,2,23453,1514,0,0,2
0,26,1,81686,378,0,1,3
0,44,1,45533,1012,0,1,3
1,48,1,107845,4485,0,1,3
0,22,2,19984,622,0,0,3
1,64,1,81724,1113,1,0,3
0,36,2,24325,1478,0,0,2
0,68,2,39120,24,1,0,1
0,43,2,18085,370,0,0,1
0,71,1,48349,0,1,0,1
0,66,1,46781,0,1,0,2
0,64,2,46369,0,1,0,3
0,47,2,50437,1379,1,0,2
0,37,1,30314,0,0,0,2
0,36,1,138693,1284,1,0,5
0,72,2,61338,0,1,0,2
0,60,2,184906,878,0,0,4
0,67,1,93971,136,1,0,3
0,45,1,56225,318,1,0,2
0,23,1,34396,1569,0,1,4
0,72,2,245773,3,1,0,2
0,71,1,247402,0,1,1,4
0,73,2,83897,1058,1,0,2
0,34,2,36216,0,1,0,3
0,61,2,159200,2047,1,1,4
0,45,2,76097,0,1,0,4
0,44,2,41469,116,0,0,2
0,42,2,18919,15,1,0,1
0,50,2,38776,0,1,0,2
0,22,1,29641,1721,0,1,2
0,32,2,48473,754,0,0,3
0,71,1,282336,726,1,0,4
0,54,2,44944,0,1,0,3
0,74,2,182110,0,1,0,4
0,73,2,38985,1375,1,1,2
0,42,1,23169,0,1,0,1
0,28,1,10000,0,0,0,1
0,21,1,19172,859,0,0,2
0,32,2,23683,421,0,1,2
1,71,1,122360,9273,1,3,1
0,36,1,37843,1126,1,0,2
0,30,2,25578,907,0,0,3
0,23,2,11851,1647,0,1,2
0,39,2,21159,419,0,0,2
0,46,1,104824,846,1,1,5
0,68,1,85133,605,1,0,4
0,51,2,167978,0,0,1,4
0,61,2,51058,176,1,0,2
0,44,2,28634,0,0,0,2
0,34,1,69531,0,0,0,4
0,55,1,142099,325,1,0,2
1,29,2,25309,3065,0,2,1
0,27,1,29387,0,0,0,3
0,71,1,82395,0,1,0,3
0,70,2,54696,0,1,0,2
0,50,1,95240,1010,1,0,4
0,68,1,150741,141,1,1,5
0,28,1,46992,174,0,0,4
0,55,2,101563,3519,0,3,4
0,66,1,55506,4582,0,2,2
0,59,1,46812,49,1,1,2
0,55,2,34813,0,1,0,2
0,34,1,36844,632,1,0,2
0,73,2,102778,0,1,0,4
1,49,1,30165,535,1,0,1
0,29,2,17405,0,0,0,2
0,45,1,71968,0,0,0,4
0,54,2,112557,68,1,0,2
0,22,1,10000,0,0,1,1
0,29,1,10000,1139,0,0,1
0,68,2,57295,0,1,0,2
0,44,1,74093,465,1,1,4
0,42,2,25024,0,1,1,2
0,52,1,42347,6516,1,2,1
0,40,2,69062,0,0,0,3
0,21,1,12871,0,0,0,2
0,53,1,125090,144,1,3,2
0,60,1,79548,1207,1,0,4
0,36,1,55709,0,0,1,4
0,23,1,26371,3353,0,2,3
0,30,1,40260,0,0,0,3
0,72,2,61016,0,1,0,2
0,71,1,162817,516,1,0,4
0,66,1,74384,0,1,0,2
0,48,1,30979,3695,1,1,1
0,67,2,41749,0,1,1,3
0,66,1,58650,0,1,0,2
0,61,2,39520,552,1,0,3
0,66,2,64682,511,1,0,3
1,41,1,58793,53,0,1,4
0,43,1,38407,0,0,0,3
0,70,1,38215,0,1,0,1
0,40,1,44588,712,0,0,2
0,65,2,36275,4,1,0,2
0,37,1,66098,0,0,0,4
0,58,2,38876,0,1,0,2
0,52,2,89271,48,0,0,4
0,71,1,113730,373,1,0,3
0,47,2,54205,289,1,0,2
0,66,2,344755,404,1,0,4
0,28,2,20008,152,0,0,2
0,35,2,39349,518,0,0,3
0,44,2,16515,0,1,0,1
0,35,2,19577,70,0,0,2
0,75,2,44472,572,1,0,2
0,39,1,98169,447,1,0,4
0,72,1,52740,100,1,0,2
0,36,2,47993,946,0,0,4
0,32,1,61980,509,1,0,2
0,72,1,70057,385,1,0,3
0,55,1,108228,282,1,0,4
0,24,2,11413,1107,0,0,2
0,54,2,57395,2324,1,1,2
0,56,2,68030,490,1,0,2
0,65,1,346661,428,1,0,5
0,53,1,60803,0,1,0,4
0,34,1,25444,2198,0,1,2
0,29,2,20191,0,0,0,2
0,34,1,26572,192,0,0,2
0,25,2,22621,342,0,1,3
0,37,2,38251,0,0,0,3
0,38,1,76897,61,0,0,3
0,57,1,56964,1126,1,0,1
0,54,2,34589,0,1,1,1
0,43,1,50092,0,1,0,1
0,32,1,33523,0,1,0,3
0,67,2,140494,140,1,0,5
1,47,1,47098,560,1,0,3
0,61,2,55424,1014,1,0,3
0,65,1,169551,105,1,1,5
0,68,1,114353,0,1,0,5
0,73,2,43591,139,1,0,2
0,59,2,72398,626,1,2,4
0,27,1,24538,0,0,0,3
0,33,1,82565,0,0,0,4
0,56,2,30357,249,0,0,2
0,61,2,77987,0,1,0,3
0,51,1,76375,229,1,0,4
0,23,2,10000,202,0,1,1
0,29,2,18324,0,0,0,2
0,25,2,16522,0,0,0,2
0,63,2,102214,392,1,1,3
0,26,2,48164,0,0,0,2
0,28,2,25590,4618,0,1,3
0,55,2,49558,54,0,0,3
0,53,2,26683,0,1,0,1
0,53,1,43903,1133,1,0,2
0,53,2,39468,0,1,0,2
0,65,1,96158,0,1,0,1
0,51,1,46768,0,1,0,3
0,39,1,39426,0,0,0,2
0,38,1,23337,0,0,0,1
0,23,2,45939,0,0,0,4
0,66,2,70216,711,1,1,2
0,63,2,73230,0,1,0,4
0,24,2,22544,508,0,0,3
0,31,2,33319,0,0,0,3
0,57,1,93448,293,1,0,3
0,72,1,98540,0,1,0,5
0,51,1,76882,0,1,1,4
1,45,1,64785,5583,1,2,3
1,51,2,42521,869,1,1,2
0,67,1,62014,0,1,0,2
0,51,2,52702,417,1,0,3
1,51,1,90983,2039,1,1,4
0,33,2,19860,1247,1,0,1
0,45,1,26918,1248,1,0,1
0,75,1,226238,538,1,0,4
0,28,1,48477,150,0,0,4
0,45,2,32370,324,1,1,2
0,42,2,74869,1230,1,1,5
0,37,1,93505,0,0,0,5
0,44,2,51165,207,1,0,4
0,38,1,73610,0,1,3,4
0,75,2,53607,0,1,0,3
0,74,2,42098,0,1,0,2
0,60,1,43625,0,1,0,2
1,70,1,106337,12962,1,4,3
0,45,2,41557,18,0,0,2
0,24,2,34680,662,0,0,3
1,74,1,93823,331,1,4,5
0,22,2,10000,259,0,0,2
1,63,2,67134,373,1,1,2
0,54,1,123665,148,1,0,3
0,56,2,67000,917,1,0,2
1,67,1,65675,1763,1,0,3
0,27,2,31517,0,0,0,3
0,70,2,48208,0,1,1,2
0,38,1,19208,323,0,1,1
0,62,2,61787,283,1,0,3
0,24,2,10000,0,0,1,1
0,36,1,26161,614,0,2,2
0,69,2,210306,710,1,0,4
0,28,2,10000,956,0,0,1
0,61,2,136272,381,1,0,5
1,69,1,53532,2239,1,1,2
0,56,2,119130,108,1,0,3
0,37,1,38259,0,0,0,2
0,68,2,56167,174,1,0,2
0,47,1,66587,862,1,0,4
0,66,1,71787,0,1,0,1
1,73,2,33985,6054,1,2,1
0,66,1,52435,172,1,0,2
0,26,2,20813,2434,0,1,3
0,25,2,13958,2291,0,0,2
0,21,1,14904,0,0,0,2
0,23,2,48084,1312,0,1,4
0,27,1,28266,1304,0,0,2
0,27,1,16736,187,0,1,2
0,30,1,58709,0,0,0,5
0,31,1,30201,0,0,0,2
0,62,2,57309,287,1,0,4
0,24,2,31934,0,0,0,2
0,47,1,60880,1922,1,0,4
0,68,1,55039,692,1,0,2
0,49,1,55798,0,1,0,4
0,66,1,81488,0,1,0,3
0,49,1,56936,0,1,0,2
0,26,2,10000,430,0,0,1
0,25,1,72604,1425,0,0,4
0,43,2,65049,22,1,0,4
1,46,2,23596,3500,1,3,1
0,36,2,40933,515,0,0,4
0,21,2,53038,716,0,2,4
0,29,2,97196,197,0,0,5
0,71,1,66127,1254,1,0,2
0,55,2,45310,1745,1,0,2
1,42,2,36144,1209,1,0,3
0,26,2,18700,0,0,0,2
0,65,2,77691,3168,1,2,4
0,25,2,41648,0,0,0,5
0,25,1,16337,562,0,0,2
0,56,1,41968,1718,1,1,2
0,26,2,14650,194,0,0,2
0,43,1,130303,1038,0,0,3
0,66,2,38071,477,0,0,1
0,61,2,65538,690,1,0,3
0,67,1,108902,0,1,0,2
0,39,2,40844,312,0,0,4
0,40,1,33107,1544,0,0,2
0,23,1,22299,1467,0,0,2
0,67,1,65292,0,1,0,3
0,33,2,21708,3841,0,1,2
0,49,1,59684,0,1,0,2
0,61,2,84547,659,1,0,4
0,34,1,26830,0,0,0,2
0,51,2,38193,486,1,0,2
0,29,1,57747,1610,0,1,4
0,69,1,97003,0,1,0,3
1,70,1,76294,444,1,1,3
0,47,2,117720,255,0,0,3
0,21,2,24621,0,0,0,3
0,33,2,16790,516,0,0,2
0,69,1,49109,0,1,0,2
0,29,1,19777,0,0,0,2
0,51,2,76829,0,1,0,2
0,57,2,71487,0,1,0,3
0,48,1,54302,0,1,0,3
1,36,2,24203,1548,0,1,2
0,75,2,69805,0,1,0,3
0,44,2,31644,831,1,0,3
0,55,2,76976,0,1,0,4
0,27,2,62816,0,0,0,2
0,72,2,40650,1520,1,1,1
0,49,1,41474,301,1,0,2
0,21,1,55778,290,0,1,2
0,70,1,185101,2257,1,1,5
0,62,1,99538,0,1,0,1
0,58,1,65678,2108,0,1,2
0,41,1,22156,0,1,0,1
0,45,1,73683,0,1,1,4
0,69,2,37943,0,1,0,2
0,26,2,21616,1847,0,1,2
0,50,1,44862,2258,0,2,2
1,64,2,26284,4756,1,2,1
0,32,2,150501,0,0,0,4
0,71,2,63280,0,1,0,4
1,54,2,36640,6827,1,4,2
0,59,2,35192,0,1,0,2
0,24,1,17560,646,0,0,2
0,75,2,48646,2211,1,0,2
0,24,1,26729,962,0,0,3
0,74,1,141855,864,1,0,5
0,24,1,24148,1769,0,0,2
0,57,1,46590,0,1,0,2
0,38,2,15259,0,1,0,1
0,22,2,10000,0,0,0,1
0,37,1,30659,2,0,1,2
0,36,2,60137,0,0,0,3
0,58,2,60699,241,1,0,3
0,43,1,71876,0,0,0,5
0,45,2,31400,119,0,1,2
0,28,1,42690,1720,0,1,4
1,51,2,36380,1288,1,0,2
0,65,1,56038,3242,1,1,2
0,73,2,94541,42,1,0,4
0,73,1,71737,0,1,0,2
0,26,1,19167,263,0,0,2
0,46,1,45779,0,1,0,3
0,29,2,16273,795,0,0,2
0,72,2,52806,558,1,0,3
0,58,2,255412,0,1,0,4
0,70,1,63444,891,1,0,2
0,60,2,56289,0,1,0,2
0,21,1,10000,0,0,0,1
0,25,2,26255,210,1,0,3
0,21,1,13479,1721,0,0,2
0,46,2,61502,71,1,0,4
0,35,1,14906,0,0,0,1
0,40,2,32101,0,0,0,2
0,70,1,83119,0,1,0,1
0,31,1,87954,982,0,1,5
0,59,1,39044,880,1,1,2
0,59,1,43218,2291,1,1,2
0,52,2,23789,0,1,0,1
0,38,2,42003,0,0,0,2
0,33,1,12149,0,1,0,1
0,44,2,66060,927,1,0,4
0,67,2,79323,279,1,0,5
0,75,2,115692,1308,1,0,4
0,74,2,86129,123,1,0,4
0,50,1,31749,632,1,1,1
0,74,2,180529,631,1,0,4
0,33,1,122984,311,0,0,2
1,55,2,42061,547,1,1,2
0,40,2,33777,397,1,0,3
0,38,1,46174,0,0,1,3
0,71,2,38605,896,1,0,2
0,60,2,30983,0,1,0,2
0,44,2,61830,0,1,0,4
0,35,2,21799,2330,0,1,2
0,29,2,21420,0,0,0,2
0,54,2,49460,0,1,0,4
0,59,1,80815,315,1,0,4
0,31,2,18615,98,0,0,2
0,69,1,98589,819,1,1,2
0,46,1,35045,0,0,0,2
0,49,1,35143,0,0,0,1
0,60,1,82953,96,1,0,2
0,56,1,44180,1191,1,0,2
0,44,1,48595,0,1,0,1
0,43,1,40458,0,0,0,1
0,45,2,88020,6,1,0,5
0,62,2,96362,483,1,1,3
0,39,1,346821,245,0,0,5
0,25,1,39610,0,0,0,4
0,53,2,61723,0,1,0,2
1,46,1,73649,1709,0,1,2
0,74,1,195911,73,1,0,4
0,60,2,220678,729,1,0,4
0,40,1,82250,0,0,0,4
0,54,1,81979,644,0,0,5
0,51,2,24953,75,1,1,1
0,68,1,58584,0,1,0,2
0,67,2,48496,0,1,0,2
0,41,2,32426,1950,1,0,2
0,46,1,46976,812,1,0,3
0,56,2,44673,613,1,0,2
0,53,2,44126,0,1,0,2
0,24,1,13416,901,0,1,2
0,61,2,46213,355,1,0,3
0,34,1,25158,0,0,0,2
0,32,2,10000,0,0,0,1
0,43,1,57389,2488,0,1,3
0,33,1,172983,458,0,0,4
0,40,1,91428,0,1,0,3
0,31,2,23695,1107,0,1,2
1,45,1,53902,1885,1,4,3
0,34,1,59082,0,0,0,4
0,49,2,90331,0,1,0,5
0,53,2,72781,1693,1,0,5
0,58,2,84100,0,1,0,2
0,32,1,37582,0,0,0,1
0,69,2,40327,1089,1,2,2
0,25,2,41255,0,0,1,4
0,64,2,72556,54,1,1,2
0,26,1,25993,556,0,0,2
0,60,2,37879,632,1,0,1
0,30,1,49378,252,0,1,4
0,35,1,58239,0,0,0,4
1,75,2,32628,694,1,0,1
0,41,2,105736,68,0,2,4
0,22,1,21226,325,0,0,3
0,22,1,11128,0,0,0,2
0,40,2,83681,0,1,0,5
1,73,2,87985,646,1,0,4
0,39,2,24810,29,0,0,2
0,58,2,41909,983,1,0,3
0,23,1,58998,0,0,0,3
0,30,2,22253,0,0,0,2
0,32,2,48968,2932,0,1,5
0,71,2,66551,0,1,0,4
0,60,1,74076,1074,1,0,3
0,51,1,131991,1113,1,0,5
1,49,1,121669,619,1,0,4
0,25,2,10000,0,0,0,1
0,72,1,68569,126,1,0,2
0,40,1,40753,1947,1,0,3
0,40,2,71420,25,1,0,4
0,26,1,33193,540,0,0,3
0,24,1,14050,293,0,0,2
0,28,2,17186,0,0,0,2
0,56,1,65712,46,1,0,4
0,31,2,94950,408,0,0,5
0,43,2,30176,48,1,0,2
0,42,1,38931,0,1,0,2
0,34,2,18590,229,0,0,2
0,31,2,23746,0,0,0,3
0,38,2,53772,0,0,1,2
0,42,1,79408,150,1,0,4
0,36,2,75727,3482,0,1,4
0,49,1,83038,3607,0,1,5
0,42,2,68923,1905,1,1,2
0,41,1,26715,0,0,0,2
0,27,2,25764,0,0,1,2
1,75,2,35989,646,1,0,1
